"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"179","Punjab National Bank","PNB","P&F | F.A","-0.26%","128.29","60,954,903"
"128","Dabur India Limited","DABUR","P&F | F.A","-0.27%","598.55","1,703,051"
"39","Pi Industries Limited","PIIND","P&F | F.A","-0.28%","3650.6","261,310"
"105","Max Financial Services Limited","MFSL","P&F | F.A","-0.28%","987.95","566,029"
"65","Metropolis Healthcare Ltd","METROPOLIS","P&F | F.A","-0.3%","1949.35","108,844"
"174","The Federal Bank  Limited","FEDERALBNK","P&F | F.A","-0.31%","174.55","29,598,134"
"37","Tata Consultancy Services Limited","TCS","P&F | F.A","-0.35%","3801.7","1,509,050"
"157","Mahindra & Mahindra Financial Services Limited","M&MFIN","P&F | F.A","-0.41%","306.45","2,506,060"
"59","Grasim Industries Limited","GRASIM","P&F | F.A","-0.42%","2447.15","668,976"
"84","Bata India Limited","BATAINDIA","P&F | F.A","-0.44%","1449.4","353,950"
"72","Muthoot Finance Limited","MUTHOOTFIN","P&F | F.A","-0.47%","1740.45","248,705"
"102","Zydus Lifesciences Ltd","ZYDUSLIFE","P&F | F.A","-0.5%","1073.55","859,594"
"26","Alkem Laboratories Limited","ALKEM","P&F | F.A","-0.55%","5189.3","175,111"
"77","Lupin Limited","LUPIN","P&F | F.A","-0.58%","1572.3","590,220"
"94","Glenmark Pharmaceuticals Limited","GLENMARK","P&F | F.A","-0.58%","1235.7","811,531"
"20","Dr. Reddy's Laboratories Limited","DRREDDY","P&F | F.A","-0.59%","5956.2","611,329"
"180","Canara Bank","CANBK","P&F | F.A","-0.59%","121.16","45,620,625"
"172","Tata Steel Limited","TATASTEEL","P&F | F.A","-0.61%","180.02","27,476,795"
"23","Britannia Industries Limited","BRITANNIA","P&F | F.A","-0.65%","5360.65","135,179"
"18","Atul Limited","ATUL","P&F | F.A","-0.68%","6234.5","27,451"
"69","Havells India Limited","HAVELLS","P&F | F.A","-0.69%","1815.65","1,261,356"
"1","Mrf Limited","MRF","P&F | F.A","-0.71%","124948.75","3,973"
"124","The Indian Hotels Company Limited","INDHOTEL","P&F | F.A","-0.71%","617.05","3,334,339"
"130","Exide Industries Limited","EXIDEIND","P&F | F.A","-0.74%","560.35","5,371,061"
"119","Aarti Industries Limited","AARTIIND","P&F | F.A","-0.75%","685.3","844,308"
"168","Manappuram Finance Limited","MANAPPURAM","P&F | F.A","-0.77%","190.26","6,889,943"
"127","Icici Prudential Life Insurance Company Limited","ICICIPRULI","P&F | F.A","-0.82%","601.85","1,695,129"
"129","HDFC Life Insurance Company Ltd","HDFCLIFE","P&F | F.A","-0.83%","596.2","4,453,729"
"90","Godrej Consumer Products Limited","GODREJCP","P&F | F.A","-0.84%","1391.8","434,087"
"143","Vedanta Limited","VEDL","P&F | F.A","-0.85%","448.45","6,416,994"
"106","Tata Motors Limited","TATAMOTORS","P&F | F.A","-0.87%","977.35","7,605,719"
"117","Gujarat Narmada Valley Fertilizers And Chemicals Limited","GNFC","P&F | F.A","-0.89%","696.95","5,158,328"
"38","Cummins India Limited","CUMMINSIND","P&F | F.A","-0.9%","3791.5","1,769,573"
"91","PVR Inox Ltd","PVRINOX","P&F | F.A","-0.91%","1390.45","436,254"
"165","The India Cements Limited","INDIACEM","P&F | F.A","-0.91%","218.6","2,440,811"
"50","Asian Paints Limited","ASIANPAINT","P&F | F.A","-0.92%","2891.7","1,018,294"
"47","Mahindra & Mahindra Limited","M&M","P&F | F.A","-0.95%","2933.85","3,512,298"
"56","Nestle India Limited","NESTLEIND","P&F | F.A","-0.95%","2526.05","784,307"
"78","Cipla Limited","CIPLA","P&F | F.A","-0.95%","1559.8","1,881,544"
"147","Crompton Greaves Consumer Electricals Limited","CROMPTON","P&F | F.A","-0.97%","424.5","2,882,216"
"19","Apollo Hospitals Enterprise Limited","APOLLOHOSP","P&F | F.A","-1.01%","6173.55","401,714"
"6","Abbott India Limited","ABBOTINDIA","P&F | F.A","-1.06%","26909.8","10,863"
"120","Ambuja Cements Limited","AMBUJACEM","P&F | F.A","-1.08%","666.8","3,104,511"
"141","Granules India Limited","GRANULES","P&F | F.A","-1.08%","468.9","1,010,043"
"10","Ultratech Cement Limited","ULTRACEMCO","P&F | F.A","-1.11%","10995.55","659,266"
"81","Sun Pharmaceuticals Industries Limited","SUNPHARMA","P&F | F.A","-1.11%","1504","1,537,367"
"28","Eicher Motors Limited","EICHERMOT","P&F | F.A","-1.12%","4880.75","652,617"
"107","Jsw Steel Limited","JSWSTEEL","P&F | F.A","-1.12%","914.95","1,793,533"
"122","AU Small Finance Bank","AUBANK","P&F | F.A","-1.14%","656.95","19,436,706"
"54","Acc Limited","ACC","P&F | F.A","-1.15%","2621.55","226,033"
"35","Multi Commodity Exchange Of India Limited","MCX","P&F | F.A","-1.17%","3868.45","192,687"
"132","Jubilant Foodworks Limited","JUBLFOOD","P&F | F.A","-1.17%","544.4","3,110,589"
"159","Bank Of Baroda","BANKBARODA","P&F | F.A","-1.17%","283.95","33,193,685"
"58","Hindustan Unilever Limited","HINDUNILVR","P&F | F.A","-1.18%","2457","986,976"
"148","Itc Limited","ITC","P&F | F.A","-1.19%","423.65","10,909,803"
"136","Berger Paints (i) Limited","BERGEPAINT","P&F | F.A","-1.26%","497.65","1,060,446"
"99","Tata Chemicals Limited","TATACHEM","P&F | F.A","-1.27%","1106.85","1,620,864"
"60","Tvs Motor Company Limited","TVSMOTOR","P&F | F.A","-1.35%","2437.75","674,896"
"52","Shriram Finance Ltd","SHRIRAMFIN","P&F | F.A","-1.36%","2791.25","1,835,027"
"152","Power Grid Corporation Of India Limited","POWERGRID","P&F | F.A","-1.36%","327.3","14,235,150"
"15","Bajaj Finance Limited","BAJFINANCE","P&F | F.A","-1.37%","7233.95","520,400"
"27","LTI Mindtree Ltd","LTIM","P&F | F.A","-1.37%","5019.85","351,127"
"44","Adani Enterprises Limited","ADANIENT","P&F | F.A","-1.42%","3261.9","1,419,264"
"162","Nmdc Limited","NMDC","P&F | F.A","-1.45%","262.1","5,470,537"
"4","Bosch Limited","BOSCHLTD","P&F | F.A","-1.46%","32892.55","42,616"
"16","Polycab India Ltd","POLYCAB","P&F | F.A","-1.51%","7002.7","319,124"
